File_Record_0052.rec ( 4370 Samples/channels ) Sample Rate :1s
Date :5/20/2026 10:16:45 AM
Time;Voie A1[°C];Voie A2[°C];Voie A3[°C];
296000.000000;37.52136;50.78125;51.02539;
297000.000000;37.76550;50.76599;51.16272;
298000.000000;37.67395;50.68970;50.93384;
299000.000000;37.53662;50.70496;50.67444;
300000.000000;37.29248;50.84229;50.64392;
301000.000000;37.15515;50.96436;50.61340;
302000.000000;37.07886;50.96436;50.94910;
303000.000000;37.04834;51.08643;50.91858;
304000.000000;36.60583;50.99487;50.96436;
305000.000000;36.65161;50.87280;50.99487;
306000.000000;36.80420;50.82703;50.93384;
307000.000000;37.10938;50.73547;50.90332;
308000.000000;36.92627;50.99487;50.90332;
309000.000000;37.04834;50.90332;51.28479;
310000.000000;36.86523;51.07117;51.39160;
311000.000000;36.89575;50.72021;51.40686;
312000.000000;36.83472;50.81177;51.43738;
313000.000000;37.13989;50.87280;51.34583;
314000.000000;37.41455;50.67444;51.07117;
315000.000000;37.47559;50.72021;51.40686;
316000.000000;37.96387;50.88806;51.86462;
317000.000000;38.20801;50.76599;51.95618;
318000.000000;38.08594;50.96436;52.30713;
319000.000000;38.22327;51.10168;52.42920;
320000.000000;38.16223;51.22375;52.42920;
321000.000000;38.33008;51.19324;52.58179;
322000.000000;38.43689;51.31531;52.26135;
323000.000000;38.20801;51.51367;52.30713;
324000.000000;38.51318;51.48315;52.13928;
325000.000000;38.54370;51.40686;51.71204;
326000.000000;38.34534;51.55945;51.55945;
327000.000000;37.96387;51.54419;51.20850;
328000.000000;37.59766;51.77307;51.51367;
329000.000000;37.62817;51.86462;51.54419;
330000.000000;37.30774;51.75781;51.77307;
331000.000000;37.46033;51.83411;51.45264;
332000.000000;37.71973;51.75781;51.36108;
333000.000000;37.46033;51.77307;51.51367;
334000.000000;37.62817;51.87988;51.68152;
335000.000000;37.93335;52.01721;51.91040;
336000.000000;37.82654;51.92566;51.84937;
337000.000000;38.10120;51.95618;51.77307;
338000.000000;37.97913;52.18506;51.37634;
339000.000000;37.64343;51.80359;51.58997;
340000.000000;37.75024;51.95618;51.65100;
341000.000000;38.05542;51.91040;51.58997;
342000.000000;37.71973;51.98669;51.80359;
343000.000000;37.67395;52.20032;51.81885;
344000.000000;37.53662;52.35291;51.51367;
345000.000000;37.85706;52.21558;51.77307;
346000.000000;37.65869;52.50549;51.80359;
347000.000000;37.94861;52.33765;52.09351;
348000.000000;37.96387;52.18506;52.29187;
349000.000000;37.85706;52.42920;51.92566;
350000.000000;37.96387;52.68860;51.95618;
351000.000000;38.04016;52.55127;52.15454;
352000.000000;37.84180;52.49023;52.13928;
353000.000000;37.76550;52.47498;51.69678;
354000.000000;37.47559;52.47498;51.74255;
355000.000000;37.59766;52.49023;51.80359;
356000.000000;37.97913;52.32239;51.80359;
357000.000000;37.62817;52.59705;51.78833;
358000.000000;37.56714;52.50549;51.89514;
359000.000000;37.84180;52.00195;51.78833;
360000.000000;37.85706;51.72729;51.94092;
361000.000000;37.58240;51.68152;52.01721;
362000.000000;37.62817;51.58997;52.13928;
363000.000000;37.67395;51.74255;51.86462;
364000.000000;37.39929;51.84937;51.60522;
365000.000000;37.52136;51.95618;51.07117;
366000.000000;37.56714;51.75781;51.13220;
367000.000000;37.56714;51.94092;50.94910;
368000.000000;37.47559;51.81885;51.01013;
369000.000000;37.29248;51.83411;50.82703;
370000.000000;37.42981;52.12402;50.82703;
371000.000000;37.35352;51.83411;51.19324;
372000.000000;37.41455;51.87988;51.04065;
373000.000000;37.23145;51.81885;51.36108;
374000.000000;37.23145;51.91040;51.19324;
375000.000000;37.53662;51.60522;50.88806;
376000.000000;37.35352;51.81885;50.58289;
377000.000000;37.36877;51.16272;50.76599;
378000.000000;37.70447;51.37634;50.72021;
379000.000000;37.53662;51.43738;50.46082;
380000.000000;37.41455;51.68152;50.21667;
381000.000000;37.71973;51.34583;50.35400;
382000.000000;37.35352;51.62048;50.72021;
383000.000000;37.39929;51.87988;50.75073;
384000.000000;37.70447;52.00195;51.19324;
385000.000000;37.73499;52.04773;51.26953;
386000.000000;37.46033;52.32239;51.04065;
387000.000000;37.39929;52.30713;51.14746;
388000.000000;37.65869;52.06299;50.97961;
389000.000000;37.88757;52.07825;51.25427;
390000.000000;38.05542;51.91040;50.91858;
391000.000000;37.88757;51.80359;51.19324;
392000.000000;37.71973;52.03247;51.16272;
393000.000000;38.08594;52.00195;50.94910;
394000.000000;38.00964;52.49023;50.94910;
395000.000000;37.65869;52.16980;50.87280;
396000.000000;37.52136;52.18506;50.52185;
397000.000000;37.84180;52.18506;50.64392;
398000.000000;37.84180;51.89514;50.88806;
399000.000000;37.97913;51.84937;51.25427;
400000.000000;38.33008;51.89514;51.39160;
401000.000000;38.58948;51.55945;51.84937;
402000.000000;38.49792;51.31531;52.10876;
403000.000000;38.65051;51.48315;52.26135;
